address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Abou Dawoud El Zaheri, Nasr City",Clinics,1,1,50 ,3,2021,Super lux,Main Street,"1,150,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,125 ,5,Semi Finished,Main Street,,"850,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,205 ,10,2019,Without Finish,Main Street,"1,350,000"
"Al Sheikh Mohammed Al Nadi St., El Manteqah El Sadsa",Apartments,4,2,210 ,11,2019,Without Finish,Main Street,"1,730,000"
"Al Sheikh Mohammed Al Nadi St., El Manteqah El Sadsa",Apartments,3,1,170 ,11,2019,Without Finish,Main Street,"1,330,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,4,3,220 ,2,2021,Without Finish,Main Street,"1,850,000"
"Ahmed Fakhry, Nasr City",Apartments,4,2,200 ,9,2008,Super lux,Side Street,"1,850,000"
"Abou Dawoud El Zaheri, Nasr City",Stores,,,80 ,Without Finish,Main Street,,,"3,440,000"
"Al Sahaba Al Keram St., El Sefarat Neighborhood",Apartments,3,2,175 ,3,2000,Super lux,Main Street,"1,500,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,190 ,3,2019,Without Finish,Corner,"1,160,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,185 ,7,2019,Without Finish,Main Street,"1,250,000"
"Abou Dawoud El Zaheri, Nasr City",Stores,1,1,100 ,1,2021,Without Finish,Main Street,"4,800,000"
"Abou Dawoud El Zaheri, Nasr City",Stores,,,230 ,Without Finish,Main Street,,,"10,810,000"
"Abou Dawoud El Zaheri, Nasr City",Clinics,1,1,83 ,3,2021,Super lux,Main Street,"1,784,500"
"Abou Dawoud El Zaheri, Nasr City",Offices,1,1,79 ,3,2021,Super lux,Main Street,"1,777,500"
"Masaken Al Mbothen St., El Ahly Club",Apartments,3,1,130 ,8,1907,Super lux,Main Street,"890,000"
"Abou Dawoud El Zaheri, Nasr City",Offices,1,1,85 ,3,2021,Super lux,Main Street,"1,955,000"
"El Nasr Road, Nasr City",Apartments,3,2,165 ,8,2000,Super lux,Main Street,"1,600,000"
"Hassan El Maamoun, Nasr City",Corporate Branch,12,7,600 ,1,2019,Without Finish,Main Street,"300,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,2,88 ,7,2021,Semi Finished,Main Street,"520,000"
"Nagy Nasr St., 10th Zone",Apartments,3,2,180 ,8,2019,Without Finish,Corner,"1,250,000"
"International Garden, Nasr City",Apartments,3,2,200 ,6,1997,Super lux,Main Street,"2,000,000"
"International Garden, Nasr City",Commercial,,,78 ,Super lux,,,,"2,000,700"
"Other Neighborhoods In Zahraa Nasr City, Zahraa Nasr City",Apartments,3,1,220 ,4,2012,Super lux,Side Street,"850,000"
"Ibrahim Nawar St., El Manteqah El Sadsa",Apartments,3,3,230 ,8,1996,Super lux,Side Street,"1,800,000"
مدينة نصر,Apartments,2,1,100 ,3,1990,Super lux,Main Street,"850,000"
"Hassan El Maamoun, Nasr City",Apartments,3,2, 154 ,2,2020,Semi Finished,Main Street,"1,232,000"
"48 Abdel-Hay Hegazy street, District 8, Nasr City",Full Floor,4,3,220 ,4,2000,Lux,Side Street,"1,850,000"
"Ibrahim Nawar St., El Manteqah El Sadsa",Apartments,3,2,220 ,1,1999,Super lux,Side Street,"1,850,000"
شارع الدكتور النبوى المهندس,Apartments,3,2,230 ,6,2008,Super lux,,"2,200,000"
"El Sefarat Neighborhood, El Sefarat Neighborhood",Apartments,3,2,180 ,9,Super lux,Side Street,,"1,600,000"
شارع عبد الحميد عوض - متفرع من مكرم عبيد,Furnished Apartment,3,3,300 ,12,2030,Extra super lux,Garden,"2,600,000"
"Mohamed Talaat Salem St., 1st Zone",Apartments,3,2,220 ,Ground,2015,Semi Finished,,"1,850,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,3,2,180 ,2,2019,Super lux,Main Street,"1,275,000"
"Hassan El Maamoun, Nasr City",Apartments,4,2,205 ,6,2019,Without Finish,Main Street,"2,450,000"
"Other Neighborhoods In Zahraa Nasr City, Zahraa Nasr City",Building,,,185 ,2008,Super lux,Main Street,,"6,800,000"
"Moustafa El Nahaas / Ali Amin, Nasr City",Apartments,3,2,130 ,8,1989,Extra super lux,Back,"1,220,000"
"Dr Naguib Mahfouz St., 8th Zone",Furnished Apartment,3,2,230 ,8,2000,Super lux,Garden,"2,300,000"
"Abbas El Akkad, Nasr City",Apartments,4,3,330 ,6,2016,Super lux,Main Street,"5,200,000"
"Hassan El Maamoun, Nasr City",Apartments,4,3,245 ,9,2019,Without Finish,Main Street,"2,600,000"
"Other Neighborhoods In Zahraa Nasr City, Zahraa Nasr City",Building,,,185 ,2008,Super lux,Main Street,,"6,800,000"
"Helmy Hasan Ali St., 8th Zone",Apartments,3,2,220 ,2,Super lux,,,"1,400,000"
"Abbas El Akkad, Nasr City",Apartments,3,2,200 ,3,2006,Super lux,Side Street,"2,250,000"
"El Sefarat Neighborhood, El Sefarat Neighborhood",Apartments,4,4,288 ,3,2006,Semi Finished,Main Street,"2,200,000"
